lig_0,lig_1,freenrg,error,engine
lig_ejm31,lig_ejm55,-0.822786062761482,0.5,SOMD
lig_ejm31,lig_ejm53,2.5583300030895053,0.5,SOMD
lig_ejm31,lig_ejm50,1.0189095777825798,0.5,SOMD
lig_ejm46,lig_jmc28,1.9357028911364298,0.5,SOMD
lig_jmc27,lig_jmc28,0.0654926317860153,0.5,SOMD
lig_jmc27,lig_jmc30,-2.4675578186931593,0.5,SOMD
lig_ejm42,lig_ejm55,0.09449779486337362,0.5,SOMD
lig_ejm31,lig_ejm47,1.0432307776806917,0.5,SOMD
lig_jmc23,lig_jmc27,1.7754465954997947,0.5,SOMD
lig_ejm31,lig_ejm49,3.0874028673889926,0.5,SOMD
lig_ejm42,lig_ejm43,2.3205373131685874,0.5,SOMD
lig_ejm48,lig_ejm53,1.4065537584360142,0.5,SOMD
lig_ejm31,lig_ejm45,-0.4232834127629248,0.5,SOMD
lig_ejm50,lig_ejm54,-2.5990530602333233,0.5,SOMD
lig_ejm43,lig_ejm44,2.5631034046933916,0.5,SOMD
lig_ejm46,lig_jmc23,-0.36512776294983795,0.5,SOMD
lig_ejm44,lig_ejm54,-4.765196367122545,0.5,SOMD
lig_ejm46,lig_jmc30,-0.023727662556952134,0.5,SOMD
lig_ejm54,lig_ejm55,3.097672302705031,0.5,SOMD
lig_ejm31,lig_ejm46,-0.8602089656359073,0.5,SOMD
lig_ejm42,lig_ejm48,0.3398200235062778,0.5,SOMD
lig_ejm43,lig_ejm50,-2.23540692018765,0.5,SOMD
lig_ejm42,lig_ejm47,0.6784159522398326,0.5,SOMD
lig_ejm42,lig_jmc27,0.3891456245405782,0.5,SOMD
